#DeathMatrix from Tab.2 in Woosley+20 https://arxiv.org/pdf/2001.10492.pdf
#First column is the preSN HE mass, the second column is the gravitational mass of the remnant (with neutrino mass loss and PISN already taken into account)
#Notice this work has been made considering pureHe stars
#MpreSN[Msun]  Mgravrem[Msun]
2.07 1.24
2.15 1.25
2.21 1.25
2.30 1.28
2.37 1.29
2.45 1.26
2.52 1.26
2.59 1.29
2.67 1.30
2.74 1.35
2.81 1.37
2.88 1.38
2.95 1.33
3.02 1.34
3.09 1.33
3.16 1.36
3.22 1.35
3.29 1.34
3.36 1.33
3.42 1.33
3.49 1.39
3.57 1.39
3.65 1.36
3.73 1.38
3.81 1.39
3.89 1.41
3.98 1.43
4.05 1.32
4.13 1.34
4.21 1.56
4.29 1.51
4.37 1.38
4.44 1.42
4.52 1.38
4.59 1.39
4.67 1.41
4.75 1.40
4.82 1.41
4.90 1.64
4.97 1.46
5.04 1.49
5.12 1.36
5.19 1.41
5.26 1.47
5.34 1.49
5.41 1.48
5.48 1.50
5.56 1.50
5.63 1.46
5.70 1.38
5.77 1.44
5.84 1.48
5.92 1.43
5.98 1.37
6.05 1.41
6.12 1.42
6.20 1.51
6.26 1.50
6.33 1.48
6.40 1.38
6.47 1.41
6.54 1.40
6.61 1.36
6.67 1.36
6.74 1.36
6.87 1.42
6.91 1.53
6.95 6.42
6.99 6.62
7.04 1.50
7.10 1.58
7.17 1.61
7.24 1.64
7.33 6.80
7.42 1.47
7.51 1.47
7.61 7.08
7.71 1.50
7.81 7.43
7.90 4.88
8.00 7.68
8.11 7.84
8.21 8.00
8.31 8.07
8.41 8.20
8.47 8.25
8.59 8.34
8.70 8.41
8.80 8.50
8.87 8.55
8.99 8.63
9.09 8.72
9.18 8.82
9.28 8.91
9.38 9.01
9.45 9.08
9.58 9.22
9.67 1.41
9.78 1.41
9.88 1.43
9.98 1.45
10.07 1.52
10.17 1.51
10.29 1.52
10.39 1.78
10.48 1.82
10.56 1.96
10.70 3.92
10.81 1.76
10.91 2.31
11.02 4.11
11.13 1.86
11.23 2.29
11.34 2.56
11.44 2.23
11.55 6.46
11.66 11.14
11.88 9.52
12.10 11.71
12.32 11.93
12.54 12.17
12.74 11.06
12.98 11.22
13.21 11.06
13.44 13.18
13.66 13.42
13.89 13.68
14.81 14.64
15.74 15.61
16.68 16.54
17.63 17.49
18.59 18.45
19.56 19.41
20.53 20.38
21.51 21.36
22.50 22.35
23.49 23.34
24.48 24.33
25.49 25.34
26.50 26.35
27.51 27.36
28.52 28.37
29.53 29.38
30.56 30.36
31.57 31.35
32.60 32.35
33.63 33.30
34.66 34.08
36.83 36.02
39.38 37.28
41.95 38.02
44.54 38.61
47.13 40.61
50.22 42.78
52.82 45.84
55.43 44.65
57.42 41.20
60.12 3.51
