0.00000000e+00   0   3.13381018e+02   1   1.88770726e+04   2   1.96961632e+04   3   2.15527892e+04   4   2.16493246e+04   5   2.16494199e+04   6   
0.00000000e+00   0   2.52601658e+02   1   1.47446578e+04   2   1.54524092e+04   3   1.69959253e+04   4   1.70900539e+04   5   1.70901487e+04   6   
0.00000000e+00   0   2.06106096e+02   1   1.16688301e+04   2   1.22589922e+04   3   1.35940173e+04   4   1.36875978e+04   5   1.36876872e+04   6   
0.00000000e+00   0   1.67807573e+02   1   9.33429616e+03   2   9.87080283e+03   3   1.10160667e+04   4   1.11110432e+04   5   1.11111334e+04   6   
0.00000000e+00   0   1.41088119e+02   1   7.57216460e+03   2   8.05420044e+03   3   9.03733015e+03   4   9.13118698e+03   5   9.13127826e+03   6   
0.00000000e+00   0   1.31098651e+02   1   6.98011792e+03   2   7.44047654e+03   3   8.37760153e+03   4   8.47184667e+03   5   8.47192213e+03   6   
0.00000000e+00   0   1.24188634e+02   1   6.45596197e+03   2   6.88844165e+03   3   7.77974559e+03   4   7.87322003e+03   5   7.87329540e+03   6   
0.00000000e+00   0   1.15197392e+02   1   5.96325654e+03   2   6.38419796e+03   3   7.23766571e+03   4   7.33156961e+03   5   7.33165963e+03   6   
0.00000000e+00   0   1.07077132e+02   1   5.53841683e+03   2   5.93010192e+03   3   6.74454521e+03   4   6.84017987e+03   5   6.84026801e+03   6   
0.00000000e+00   0   1.01517600e+02   1   5.13785016e+03   2   5.51548195e+03   3   6.29613603e+03   4   6.39431668e+03   5   6.39440603e+03   6   
0.00000000e+00   0   9.44466839e+01   1   4.77470467e+03   2   5.14983269e+03   3   5.88589460e+03   4   5.98085726e+03   5   5.98094567e+03   6   
0.00000000e+00   0   9.02209265e+01   1   4.45001756e+03   2   4.79524962e+03   3   5.51159649e+03   4   5.60647110e+03   5   5.60655981e+03   6   
0.00000000e+00   0   8.54202038e+01   1   4.14021179e+03   2   4.48463852e+03   3   5.16837326e+03   4   5.26258769e+03   5   5.26266165e+03   6   
0.00000000e+00   0   8.05008500e+01   1   3.84867837e+03   2   4.18790367e+03   3   4.85322337e+03   4   4.94763803e+03   5   4.94771209e+03   6   
0.00000000e+00   0   7.58264788e+01   1   3.60980944e+03   2   3.92699532e+03   3   4.56374648e+03   4   4.65841448e+03   5   4.65848858e+03   6   
0.00000000e+00   0   7.14280976e+01   1   3.36103664e+03   2   3.68850824e+03   3   4.29639189e+03   4   4.39374182e+03   5   4.39382793e+03   6   
0.00000000e+00   0   6.74204017e+01   1   3.15075278e+03   2   3.45870277e+03   3   4.05031665e+03   4   4.14627606e+03   5   4.14634984e+03   6   
0.00000000e+00   0   6.38998378e+01   1   2.98164983e+03   2   3.25457266e+03   3   3.82158257e+03   4   3.91651254e+03   5   3.91658898e+03   6   
0.00000000e+00   0   6.10908272e+01   1   2.83487916e+03   2   3.08304981e+03   3   3.61006484e+03   4   3.70473500e+03   5   3.70480879e+03   6   
0.00000000e+00   0   5.92507068e+01   1   2.68398164e+03   2   2.92532929e+03   3   3.41445216e+03   4   3.50857210e+03   5   3.50864715e+03   6   
0.00000000e+00   0   5.64410244e+01   1   2.54488193e+03   2   2.74539605e+03   3   3.23365796e+03   4   3.32926718e+03   5   3.32934205e+03   6   
0.00000000e+00   0   5.36175275e+01   1   2.41843780e+03   2   2.60465745e+03   3   3.06585133e+03   4   3.16176661e+03   5   3.16184110e+03   6   
0.00000000e+00   0   5.10790021e+01   1   2.29650996e+03   2   2.45917622e+03   3   2.90985150e+03   4   3.00761364e+03   5   3.00769976e+03   6   
0.00000000e+00   0   4.97105530e+01   1   2.19259743e+03   2   2.33184733e+03   3   2.76511016e+03   4   2.85898713e+03   5   2.85906172e+03   6   
0.00000000e+00   0   4.79399500e+01   1   2.10072096e+03   2   2.21668911e+03   3   2.63047855e+03   4   2.72470019e+03   5   2.72477327e+03   6   
0.00000000e+00   0   4.56402453e+01   1   2.00740896e+03   2   2.10049235e+03   3   2.50433881e+03   4   2.59902090e+03   5   2.59909365e+03   6   
0.00000000e+00   0   4.38268772e+01   1   1.92861304e+03   2   2.00788209e+03   3   2.38769624e+03   4   2.48609467e+03   5   2.48617777e+03   6   
0.00000000e+00   0   4.20954664e+01   1   1.84911956e+03   2   1.91341787e+03   3   2.27775657e+03   4   2.37326777e+03   5   2.37334225e+03   6   
0.00000000e+00   0   4.00506632e+01   1   1.77572831e+03   2   1.82641269e+03   3   2.17504298e+03   4   2.27259329e+03   5   2.27266267e+03   6   
0.00000000e+00   0   3.82352577e+01   1   1.70726864e+03   2   1.74494561e+03   3   2.07871895e+03   4   2.17284659e+03   5   2.17292154e+03   6   
0.00000000e+00   0   3.75393956e+01   1   1.64583930e+03   2   1.67535663e+03   3   1.98903537e+03   4   2.08255946e+03   5   2.08263361e+03   6   
0.00000000e+00   0   3.57347507e+01   1   1.58597523e+03   2   1.60903140e+03   3   1.90457234e+03   4   1.99805683e+03   5   1.99813164e+03   6   
0.00000000e+00   0   3.51491850e+01   1   1.52775330e+03   2   1.54781931e+03   3   1.82486122e+03   4   1.92152564e+03   5   1.92159610e+03   6   
0.00000000e+00   0   3.39820121e+01   1   1.47378522e+03   2   1.48988085e+03   3   1.75004981e+03   4   1.84401572e+03   5   1.84409249e+03   6   
0.00000000e+00   0   3.28308637e+01   1   1.42409262e+03   2   1.43697781e+03   3   1.67969113e+03   4   1.77492254e+03   5   1.77499653e+03   6   
0.00000000e+00   0   3.14576000e+01   1   1.37403004e+03   2   1.38509413e+03   3   1.61265098e+03   4   1.70677501e+03   5   1.70684859e+03   6   
0.00000000e+00   0   3.07354922e+01   1   1.32651948e+03   2   1.33561735e+03   3   1.54924446e+03   4   1.64579401e+03   5   1.64586762e+03   6   
0.00000000e+00   0   2.99506912e+01   1   1.27670512e+03   2   1.28466501e+03   3   1.48822563e+03   4   1.58175116e+03   5   1.58182506e+03   6   
0.00000000e+00   0   2.88267677e+01   1   1.24086516e+03   2   1.24710493e+03   3   1.43290013e+03   4   1.52752386e+03   5   1.52759797e+03   6   
0.00000000e+00   0   2.72119515e+01   1   1.19608825e+03   2   1.20166258e+03   3   1.37805169e+03   4   1.47337975e+03   5   1.47345449e+03   6   
0.00000000e+00   0   2.68128332e+01   1   1.15976921e+03   2   1.16456920e+03   3   1.32737557e+03   4   1.42334666e+03   5   1.42342209e+03   6   
0.00000000e+00   0   2.63354430e+01   1   1.12236644e+03   2   1.12665382e+03   3   1.27886458e+03   4   1.37665706e+03   5   1.37684028e+03   6   
0.00000000e+00   0   2.53110121e+01   1   1.08891760e+03   2   1.09258192e+03   3   1.23325202e+03   4   1.33051599e+03   5   1.33059216e+03   6   
0.00000000e+00   0   2.44704459e+01   1   1.05734783e+03   2   1.06058556e+03   3   1.19016991e+03   4   1.29066437e+03   5   1.29073668e+03   6   
0.00000000e+00   0   2.38401344e+01   1   1.02389566e+03   2   1.02644360e+03   3   1.14815508e+03   4   1.25288371e+03   5   1.25295420e+03   6   
0.00000000e+00   0   2.27980047e+01   1   9.92327177e+02   2   9.95040343e+02   3   1.10839205e+03   4   1.20965941e+03   5   1.20973637e+03   6   
0.00000000e+00   0   2.26642435e+01   1   9.64730615e+02   2   9.67010332e+02   3   1.07110995e+03   4   1.17460962e+03   5   1.17468742e+03   6   
0.00000000e+00   0   2.17661795e+01   1   9.39122675e+02   2   9.41108275e+02   3   1.03553662e+03   4   1.14409455e+03   5   1.14417895e+03   6   
0.00000000e+00   0   2.16397088e+01   1   9.10447104e+02   2   9.12318199e+02   3   1.00083159e+03   4   1.11239569e+03   5   1.11248105e+03   6   
0.00000000e+00   0   2.04614396e+01   1   8.86073946e+02   2   8.87696345e+02   3   9.68826840e+02   4   1.08740764e+03   5   1.08748228e+03   6   
0.00000000e+00   0   1.99802021e+01   1   8.60601126e+02   2   8.62198069e+02   3   9.37307605e+02   4   1.06192660e+03   5   1.06200360e+03   6   
0.00000000e+00   0   1.96302757e+01   1   8.39275174e+02   2   8.40819791e+02   3   9.07106183e+02   4   1.05264672e+03   5   1.05272628e+03   6   
0.00000000e+00   0   1.95027371e+01   1   8.17576608e+02   2   8.19017534e+02   3   8.72304336e+02   4   1.06126807e+03   5   1.06135687e+03   6   
0.00000000e+00   0   1.88161366e+01   1   7.95714415e+02   2   7.96882408e+02   3   8.43731334e+02   4   1.04108280e+03   5   1.04117255e+03   6   
0.00000000e+00   0   1.83376074e+01   1   7.75350019e+02   2   7.76575997e+02   3   8.19045971e+02   4   1.01716164e+03   5   1.01725470e+03   6   
0.00000000e+00   0   1.78437959e+01   1   7.55596760e+02   2   7.56742416e+02   3   7.95067823e+02   4   9.90644919e+02   5   9.90735880e+02   6   
0.00000000e+00   0   1.74372464e+01   1   7.36160432e+02   2   7.37162671e+02   3   7.72705969e+02   4   9.64236015e+02   5   9.64326571e+02   6   
0.00000000e+00   0   1.70087900e+01   1   7.16825929e+02   2   7.17859662e+02   3   7.51007672e+02   4   9.39827973e+02   5   9.39918472e+02   6   
0.00000000e+00   0   1.65730923e+01   1   6.99331932e+02   2   7.00276079e+02   3   7.31509895e+02   4   9.13443730e+02   5   9.13537986e+02   6   
0.00000000e+00   0   1.60761264e+01   1   6.82049024e+02   2   6.82900731e+02   3   7.12477221e+02   4   8.89530078e+02   5   8.89623663e+02   6   
0.00000000e+00   0   1.61191407e+01   1   6.66571659e+02   2   6.67411414e+02   3   6.94895870e+02   4   8.64205555e+02   5   8.64297744e+02   6   
0.00000000e+00   0   1.55675215e+01   1   6.48840084e+02   2   6.49596516e+02   3   6.75449277e+02   4   8.41851235e+02   5   8.41928256e+02   6   
0.00000000e+00   0   1.51492853e+01   1   6.34757698e+02   2   6.35505483e+02   3   6.59855463e+02   4   8.20620082e+02   5   8.20707987e+02   6   
0.00000000e+00   0   1.49416353e+01   1   6.19249184e+02   2   6.19999357e+02   3   6.43057858e+02   4   7.96242838e+02   5   7.96317701e+02   6   
0.00000000e+00   0   1.47636152e+01   1   6.04959267e+02   2   6.05671091e+02   3   6.27538324e+02   4   7.75102042e+02   5   7.75175611e+02   6   
0.00000000e+00   0   1.43374197e+01   1   5.91672500e+02   2   5.92352133e+02   3   6.13346964e+02   4   7.59155531e+02   5   7.59229596e+02   6   
0.00000000e+00   0   1.39900996e+01   1   5.78085983e+02   2   5.78738718e+02   3   5.98618470e+02   4   7.37576667e+02   5   7.37648976e+02   6   
