0.00000000e+00   0   2.21995292e+01   1   8.63686394e+02   2   8.64540272e+02   3   8.86470116e+02   4   1.11174922e+03   5   1.11227871e+03   6   
0.00000000e+00   0   1.76436786e+01   1   6.80440907e+02   2   6.81090910e+02   3   6.94672300e+02   4   8.62524082e+02   5   8.62941466e+02   6   
0.00000000e+00   0   1.36023568e+01   1   5.42543898e+02   2   5.43064179e+02   3   5.52680888e+02   4   6.79722058e+02   5   6.80058671e+02   6   
0.00000000e+00   0   1.16794250e+01   1   4.45938915e+02   2   4.46348824e+02   3   4.53340461e+02   4   5.48224948e+02   5   5.48486446e+02   6   
0.00000000e+00   0   9.89447744e+00   1   3.71928955e+02   2   3.72250003e+02   3   3.77497578e+02   4   4.49723652e+02   5   4.49924439e+02   6   
0.00000000e+00   0   8.24063384e+00   1   3.13561115e+02   2   3.13831457e+02   3   3.17844042e+02   4   3.73619427e+02   5   3.73778928e+02   6   
0.00000000e+00   0   6.99586973e+00   1   2.66601914e+02   2   2.66824915e+02   3   2.70061256e+02   4   3.14510499e+02   5   3.14639385e+02   6   
0.00000000e+00   0   6.60380658e+00   1   2.30142978e+02   2   2.30332296e+02   3   2.32971203e+02   4   2.68464284e+02   5   2.68569664e+02   6   
0.00000000e+00   0   5.49661547e+00   1   1.99808439e+02   2   1.99967655e+02   3   2.02094864e+02   4   2.31463058e+02   5   2.31549733e+02   6   
0.00000000e+00   0   4.81663365e+00   1   1.75463446e+02   2   1.75602127e+02   3   1.77416518e+02   4   2.01925757e+02   5   2.01997354e+02   6   
0.00000000e+00   0   3.64587316e+00   1   1.30432279e+02   2   1.30532828e+02   3   1.31737974e+02   4   1.48248754e+02   5   1.48296898e+02   6   
0.00000000e+00   0   2.86556011e+00   1   1.01007888e+02   2   1.01082651e+02   3   1.01903889e+02   4   1.13744203e+02   5   1.13779812e+02   6   
0.00000000e+00   0   2.19109996e+00   1   8.04242693e+01   2   8.04847514e+01   3   8.10938337e+01   4   9.00757140e+01   5   9.01042944e+01   6   
0.00000000e+00   0   1.83232927e+00   1   6.59059806e+01   2   6.59540743e+01   3   6.64064908e+01   4   7.34048355e+01   5   7.34276261e+01   6   
0.00000000e+00   0   1.66427199e+00   1   6.11091937e+01   2   6.11541760e+01   3   6.15601598e+01   4   6.79594675e+01   5   6.79810658e+01   6   
0.00000000e+00   0   1.52172319e+00   1   5.70123347e+01   2   5.70541574e+01   3   5.74190551e+01   4   6.33020808e+01   5   6.33220626e+01   6   
0.00000000e+00   0   1.52558394e+00   1   5.50928858e+01   2   5.51333261e+01   3   5.54812396e+01   4   6.11013416e+01   5   6.11206791e+01   6   
0.00000000e+00   0   1.25485310e+00   1   4.69525712e+01   2   4.69874601e+01   3   4.72542208e+01   4   5.18876373e+01   5   5.19038369e+01   6   
0.00000000e+00   0   1.10124404e+00   1   4.06075424e+01   2   4.06383269e+01   3   4.08533296e+01   4   4.47278108e+01   5   4.47419828e+01   6   
0.00000000e+00   0   9.81211741e-01   1   3.56153317e+01   2   3.56425992e+01   3   3.58190939e+01   4   3.91323611e+01   5   3.91442695e+01   6   
0.00000000e+00   0   7.54003139e-01   1   2.83663023e+01   2   2.83876051e+01   3   2.85129683e+01   4   3.10806670e+01   5   3.10895947e+01   6   
