0.00000000e+00   0   5.84265791e+02   1   5.25213256e+04   2   5.60984729e+04   3   6.17526828e+04   4   6.18829241e+04   5   6.18830558e+04   6   
0.00000000e+00   0   3.38414653e+02   1   2.70049200e+04   2   2.90234828e+04   3   3.22535691e+04   4   3.23823726e+04   5   3.23824943e+04   6   
0.00000000e+00   0   2.94874732e+02   1   2.16284122e+04   2   2.34483787e+04   3   2.64147194e+04   4   2.65433006e+04   5   2.65434265e+04   6   
0.00000000e+00   0   2.58441184e+02   1   1.74652783e+04   2   1.91716413e+04   3   2.17899825e+04   4   2.19227733e+04   5   2.19228974e+04   6   
0.00000000e+00   0   2.48544482e+02   1   1.60479589e+04   2   1.76886719e+04   3   2.02150197e+04   4   2.03414712e+04   5   2.03415891e+04   6   
0.00000000e+00   0   2.32989663e+02   1   1.47512383e+04   2   1.62588612e+04   3   1.87780679e+04   4   1.89116233e+04   5   1.89117642e+04   6   
0.00000000e+00   0   2.22608110e+02   1   1.35613188e+04   2   1.51164746e+04   3   1.74610880e+04   4   1.75882844e+04   5   1.75884020e+04   6   
0.00000000e+00   0   2.12575356e+02   1   1.24710021e+04   2   1.39155024e+04   3   1.62536569e+04   4   1.63857144e+04   5   1.63858321e+04   6   
0.00000000e+00   0   2.02033030e+02   1   1.15402446e+04   2   1.28865427e+04   3   1.51454273e+04   4   1.52748190e+04   5   1.52749358e+04   6   
0.00000000e+00   0   1.96852539e+02   1   1.06084573e+04   2   1.19195396e+04   3   1.41267110e+04   4   1.42536772e+04   5   1.42537975e+04   6   
0.00000000e+00   0   1.86478373e+02   1   9.77307689e+03   2   1.10943661e+04   3   1.31882355e+04   4   1.33218224e+04   5   1.33219593e+04   6   
0.00000000e+00   0   1.78792822e+02   1   8.94865812e+03   2   1.02365355e+04   3   1.23240858e+04   4   1.24589831e+04   5   1.24591195e+04   6   
0.00000000e+00   0   1.60922770e+02   1   7.64905662e+03   2   8.81140779e+03   3   1.07895153e+04   4   1.09197241e+04   5   1.09198357e+04   6   
0.00000000e+00   0   1.52374479e+02   1   7.03521638e+03   2   8.19384977e+03   3   1.01082413e+04   4   1.02344625e+04   5   1.02345790e+04   6   
0.00000000e+00   0   1.35079854e+02   1   7.38801560e+03   2   7.58694673e+03   3   9.04001898e+03   4   9.16640609e+03   5   9.16650311e+03   6   
