0.00000000e+00   0   1.40565182e+01   1   5.32128181e+02   2   5.82947144e+02   3   6.22750797e+02   4   6.82697162e+02   5   6.82828121e+02   6   
0.00000000e+00   0   1.03564510e+01   1   3.89612017e+02   2   4.35800884e+02   3   4.67861415e+02   4   5.18131038e+02   5   5.18247593e+02   6   
0.00000000e+00   0   8.45211867e+00   1   3.31868458e+02   2   3.35179073e+02   3   3.54643868e+02   4   4.01070999e+02   5   4.01176460e+02   6   
0.00000000e+00   0   7.48600681e+00   1   2.77357286e+02   2   2.77927581e+02   3   2.85224294e+02   4   3.24161400e+02   5   3.24250106e+02   6   
0.00000000e+00   0   5.88350472e+00   1   2.32807647e+02   2   2.33159275e+02   3   2.37373973e+02   4   2.68360003e+02   5   2.68437641e+02   6   
0.00000000e+00   0   5.12837284e+00   1   1.98545376e+02   2   1.98810796e+02   3   2.01779018e+02   4   2.27183506e+02   5   2.27249743e+02   6   
0.00000000e+00   0   4.53947193e+00   1   1.71346632e+02   2   1.71569273e+02   3   1.73809667e+02   4   1.94789162e+02   5   1.94847414e+02   6   
0.00000000e+00   0   3.90829421e+00   1   1.50612758e+02   2   1.50788325e+02   3   1.52508531e+02   4   1.69762859e+02   5   1.69811264e+02   6   
0.00000000e+00   0   3.54442731e+00   1   1.33399052e+02   2   1.33553324e+02   3   1.34907612e+02   4   1.49510840e+02   5   1.49553559e+02   6   
0.00000000e+00   0   3.03619973e+00   1   1.19548075e+02   2   1.19672277e+02   3   1.20787997e+02   4   1.33347292e+02   5   1.33386127e+02   6   
0.00000000e+00   0   2.86912204e+00   1   1.08032178e+02   2   1.08143865e+02   3   1.09073471e+02   4   1.19858896e+02   5   1.19894513e+02   6   
0.00000000e+00   0   2.62858443e+00   1   9.81458747e+01   2   9.82469931e+01   3   9.90177047e+01   4   1.08608164e+02   5   1.08639385e+02   6   
0.00000000e+00   0   2.32929564e+00   1   8.96606241e+01   2   8.97468349e+01   3   9.04048742e+01   4   9.88917287e+01   5   9.89194855e+01   6   
0.00000000e+00   0   2.07602217e+00   1   8.20553282e+01   2   8.21317214e+01   3   8.27060020e+01   4   9.02178810e+01   5   9.02438369e+01   6   
0.00000000e+00   0   1.92037984e+00   1   7.59649677e+01   2   7.60354708e+01   3   7.65340412e+01   4   8.32979944e+01   5   8.33215281e+01   6   
0.00000000e+00   0   1.84437454e+00   1   7.02900043e+01   2   7.03543609e+01   3   7.07819125e+01   4   7.68580456e+01   5   7.68796142e+01   6   
0.00000000e+00   0   1.75482272e+00   1   6.52299623e+01   2   6.52896918e+01   3   6.56684718e+01   4   7.12861775e+01   5   7.13054781e+01   6   
0.00000000e+00   0   1.56887681e+00   1   6.08783498e+01   2   6.09329313e+01   3   6.12619682e+01   4   6.63347364e+01   5   6.63536387e+01   6   
0.00000000e+00   0   1.57059942e+00   1   5.68721940e+01   2   5.69234686e+01   3   5.72165210e+01   4   6.18895620e+01   5   6.19068869e+01   6   
0.00000000e+00   0   1.47553076e+00   1   5.35484233e+01   2   5.35958569e+01   3   5.38493651e+01   4   5.80921260e+01   5   5.81078728e+01   6   
0.00000000e+00   0   1.34606828e+00   1   5.01240610e+01   2   5.01690847e+01   3   5.04022182e+01   4   5.43600250e+01   5   5.43752125e+01   6   
0.00000000e+00   0   1.31737135e+00   1   4.73984977e+01   2   4.74381718e+01   3   4.76472392e+01   4   5.13310932e+01   5   5.13448413e+01   6   
0.00000000e+00   0   1.17402488e+00   1   4.47495502e+01   2   4.47875420e+01   3   4.49759835e+01   4   4.83959969e+01   5   4.84091945e+01   6   
0.00000000e+00   0   1.08728798e+00   1   4.23281673e+01   2   4.23642850e+01   3   4.25352218e+01   4   4.57226913e+01   5   4.57353352e+01   6   
0.00000000e+00   0   1.07570089e+00   1   4.01228978e+01   2   4.01574016e+01   3   4.03117798e+01   4   4.33084426e+01   5   4.33201213e+01   6   
0.00000000e+00   0   1.06480777e+00   1   3.81336430e+01   2   3.81661088e+01   3   3.83061538e+01   4   4.11345207e+01   5   4.11453730e+01   6   
0.00000000e+00   0   1.00801194e+00   1   3.63658828e+01   2   3.63968844e+01   3   3.65230611e+01   4   3.91494145e+01   5   3.91599966e+01   6   
0.00000000e+00   0   9.25941688e-01   1   3.46474569e+01   2   3.46767540e+01   3   3.47929282e+01   4   3.73040444e+01   5   3.73136982e+01   6   
0.00000000e+00   0   8.74874722e-01   1   3.31901535e+01   2   3.32182147e+01   3   3.33242183e+01   4   3.56765616e+01   5   3.56858301e+01   6   
0.00000000e+00   0   8.36007998e-01   1   3.17088198e+01   2   3.17343495e+01   3   3.18312618e+01   4   3.40739023e+01   5   3.40826351e+01   6   
0.00000000e+00   0   7.91478966e-01   1   3.03304558e+01   2   3.03549634e+01   3   3.04437728e+01   4   3.25747345e+01   5   3.25832802e+01   6   
0.00000000e+00   0   8.15223070e-01   1   2.91697681e+01   2   2.91932680e+01   3   2.92773790e+01   4   3.12991269e+01   5   3.13072274e+01   6   
